origin                                             , destination                                        , mode   , distance_meters, distance_text, duration_seconds, duration_text  , duration_in_traffic_seconds, duration_in_traffic_text
Stephansplatz                                      , Türkenschanzpark                                   , walking,            4707, 4.7 km       ,             4123, 1 hour 9 mins  ,                            , 
Stephansplatz                                      , Maria-Theresien-Platz                              , walking,            1185, 1.2 km       ,              997, 17 mins        ,                            , 
Stephansplatz                                      , Blumengärten Hirschstetten                         , walking,           10283, 10.3 km      ,             8581, 2 hours 23 mins,                            , 
Stephansplatz                                      , Palais Liechtenstein                               , walking,            2124, 2.1 km       ,             1742, 29 mins        ,                            , 
Stephansplatz                                      , Belvedere                                          , walking,            2456, 2.5 km       ,             2091, 35 mins        ,                            , 
Stephansplatz                                      , Karlsplatz                                         , walking,            1214, 1.2 km       ,             1011, 17 mins        ,                            , 
Stephansplatz                                      , Messe                                              , walking,            3531, 3.5 km       ,             2963, 49 mins        ,                            , 
Stephansplatz                                      , Altwiener Christkindlmarkt                         , walking,             781, 0.8 km       ,              640, 11 mins        ,                            , 
Stephansplatz                                      , Biobauern-Adventmarkt                              , walking,            2786, 2.8 km       ,             2339, 39 mins        ,                            , 
Stephansplatz                                      , Rathaus                                            , walking,            1520, 1.5 km       ,             1273, 21 mins        ,                            , 
Stephansplatz                                      , Schönbrunn                                         , walking,            7304, 7.3 km       ,             6256, 1 hour 44 mins ,                            , 
Stephansplatz                                      , Prater / Riesenrad                                 , walking,            2382, 2.4 km       ,             1977, 33 mins        ,                            , 
Stephansplatz                                      , Mittelalterlicher Adventmarkt                      , walking,            2786, 2.8 km       ,             2339, 39 mins        ,                            , 
Stephansplatz                                      , Weihnachtsmarkt am Michaelerplatz                  , walking,             679, 0.7 km       ,              554, 9 mins         ,                            , 
Stephansplatz                                      , Schloss Wilhelminenberg                            , walking,            7277, 7.3 km       ,             6620, 1 hour 50 mins ,                            , 
Stephansplatz                                      , Advent in der Stallburg                            , walking,             709, 0.7 km       ,              586, 10 mins        ,                            , 
Stephansplatz                                      , Adventmarkt Mariahilf                              , walking,            2291, 2.3 km       ,             1977, 33 mins        ,                            , 
Stephansplatz                                      , IKEA Westbahnhof                                   , walking,            3633, 3.6 km       ,             3119, 52 mins        ,                            , 
Stephansplatz                                      , Christkindlmarkt Floridsdorf (am Franz-Jonas-Platz), walking,            6745, 6.7 km       ,             5592, 1 hour 33 mins ,                            , 
Stephansplatz                                      , Adventmark Verkehrsmuseum Remise                   , walking,            3085, 3.1 km       ,             2550, 43 mins        ,                            , 
Stephansplatz                                      , Weihnacht im Wald                                  , walking,            3335, 3.3 km       ,             2791, 47 mins        ,                            , 
Stephansplatz                                      , Adventmarkt Favoriten                              , walking,            2786, 2.8 km       ,             2339, 39 mins        ,                            , 
Stephansplatz                                      , Winterzauber im Böhmischen Prater                  , walking,            5931, 5.9 km       ,             5090, 1 hour 25 mins ,                            , 
Stephansplatz                                      , Adventmarkt Meidling                               , walking,            2786, 2.8 km       ,             2339, 39 mins        ,                            , 
Stephansplatz                                      , Ottakringer Weihnachtszauber                       , walking,            5472, 5.5 km       ,             4695, 1 hour 18 mins ,                            , 
Stephansplatz                                      , Adventmarkt im Schloss Neugebäude                  , walking,            8084, 8.1 km       ,             6646, 1 hour 51 mins ,                            , 
Opera                                              , MQ                                                 , walking,            4473, 4.5 km       ,             3664, 1 hour 1 min   ,                            , 
Opera                                              , Altes AKH                                          , walking,            5438, 5.4 km       ,             4505, 1 hour 15 mins ,                            , 
Opera                                              , Am Hof                                             , walking,            5941, 5.9 km       ,             4854, 1 hour 21 mins ,                            , 
Opera                                              , Spittelberg                                        , walking,            4487, 4.5 km       ,             3688, 1 hour 1 min   ,                            , 
Opera                                              , Stephansplatz                                      , walking,            6129, 6.1 km       ,             5003, 1 hour 23 mins ,                            , 
Opera                                              , Türkenschanzpark                                   , walking,            6248, 6.2 km       ,             5303, 1 hour 28 mins ,                            , 
Opera                                              , Maria-Theresien-Platz                              , walking,            4727, 4.7 km       ,             3884, 1 hour 5 mins  ,                            , 
Opera                                              , Blumengärten Hirschstetten                         , walking,           16306, 16.3 km      ,            13525, 3 hours 45 mins,                            , 
Opera                                              , Palais Liechtenstein                               , walking,            6614, 6.6 km       ,             5501, 1 hour 32 mins ,                            , 
Opera                                              , Belvedere                                          , walking,            6592, 6.6 km       ,             5513, 1 hour 32 mins ,                            , 
Opera                                              , Karlsplatz                                         , walking,            5461, 5.5 km       ,             4531, 1 hour 16 mins ,                            , 
Opera                                              , Messe                                              , walking,            9532, 9.5 km       ,             7858, 2 hours 11 mins,                            , 
Opera                                              , Altwiener Christkindlmarkt                         , walking,            5759, 5.8 km       ,             4709, 1 hour 18 mins ,                            , 
Opera                                              , Biobauern-Adventmarkt                              , walking,            4586, 4.6 km       ,             3789, 1 hour 3 mins  ,                            , 
Opera                                              , Rathaus                                            , walking,            5309, 5.3 km       ,             4394, 1 hour 13 mins ,                            , 
Opera                                              , Schönbrunn                                         , walking,            1555, 1.6 km       ,             1292, 22 mins        ,                            , 
Opera                                              , Prater / Riesenrad                                 , walking,            8374, 8.4 km       ,             6870, 1 hour 55 mins ,                            , 
Opera                                              , Mittelalterlicher Adventmarkt                      , walking,            4586, 4.6 km       ,             3789, 1 hour 3 mins  ,                            , 
Opera                                              , Weihnachtsmarkt am Michaelerplatz                  , walking,            5507, 5.5 km       ,             4506, 1 hour 15 mins ,                            , 
Opera                                              , Schloss Wilhelminenberg                            , walking,            5134, 5.1 km       ,             4756, 1 hour 19 mins ,                            , 
Opera                                              , Advent in der Stallburg                            , walking,            5536, 5.5 km       ,             4535, 1 hour 16 mins ,                            , 
Opera                                              , Adventmarkt Mariahilf                              , walking,            3838, 3.8 km       ,             3188, 53 mins        ,                            , 
Opera                                              , IKEA Westbahnhof                                   , walking,            2697, 2.7 km       ,             2247, 37 mins        ,                            , 
Opera                                              , Christkindlmarkt Floridsdorf (am Franz-Jonas-Platz), walking,           11820, 11.8 km      ,             9816, 2 hours 44 mins,                            , 
Opera                                              , Adventmark Verkehrsmuseum Remise                   , walking,            8588, 8.6 km       ,             7081, 1 hour 58 mins ,                            , 
Opera                                              , Weihnacht im Wald                                  , walking,            3517, 3.5 km       ,             2902, 48 mins        ,                            , 
Opera                                              , Adventmarkt Favoriten                              , walking,            4586, 4.6 km       ,             3789, 1 hour 3 mins  ,                            , 
Opera                                              , Winterzauber im Böhmischen Prater                  , walking,            8337, 8.3 km       ,             7144, 1 hour 59 mins ,                            , 
Opera                                              , Adventmarkt Meidling                               , walking,            4586, 4.6 km       ,             3789, 1 hour 3 mins  ,                            , 
Opera                                              , Ottakringer Weihnachtszauber                       , walking,            3124, 3.1 km       ,             2683, 45 mins        ,                            , 
Opera                                              , Adventmarkt im Schloss Neugebäude                  , walking,           11786, 11.8 km      ,             9753, 2 hours 43 mins,                            , 
Türkenschanzpark                                   , MQ                                                 , walking,            4736, 4.7 km       ,             3876, 1 hour 5 mins  ,                            , 
Türkenschanzpark                                   , Altes AKH                                          , walking,            3472, 3.5 km       ,             2777, 46 mins        ,                            , 
Türkenschanzpark                                   , Am Hof                                             , walking,            4208, 4.2 km       ,             3401, 57 mins        ,                            , 
Türkenschanzpark                                   , Spittelberg                                        , walking,            4799, 4.8 km       ,             3933, 1 hour 6 mins  ,                            , 
Türkenschanzpark                                   , Stephansplatz                                      , walking,            4707, 4.7 km       ,             3793, 1 hour 3 mins  ,                            , 
Türkenschanzpark                                   , Opera                                              , walking,            6248, 6.2 km       ,             5145, 1 hour 26 mins ,                            , 
Türkenschanzpark                                   , Maria-Theresien-Platz                              , walking,            4573, 4.6 km       ,             3707, 1 hour 2 mins  ,                            , 
Türkenschanzpark                                   , Blumengärten Hirschstetten                         , walking,           13044, 13.0 km      ,            10659, 2 hours 58 mins,                            , 
Türkenschanzpark                                   , Palais Liechtenstein                               , walking,            2956, 3.0 km       ,             2301, 38 mins        ,                            , 
Türkenschanzpark                                   , Belvedere                                          , walking,            6714, 6.7 km       ,             5535, 1 hour 32 mins ,                            , 
Türkenschanzpark                                   , Karlsplatz                                         , walking,            5418, 5.4 km       ,             4398, 1 hour 13 mins ,                            , 
Türkenschanzpark                                   , Messe                                              , walking,            6900, 6.9 km       ,             5708, 1 hour 35 mins ,                            , 
Türkenschanzpark                                   , Altwiener Christkindlmarkt                         , walking,            3927, 3.9 km       ,             3167, 53 mins        ,                            , 
Türkenschanzpark                                   , Biobauern-Adventmarkt                              , walking,            6638, 6.6 km       ,             5446, 1 hour 31 mins ,                            , 
Türkenschanzpark                                   , Rathaus                                            , walking,            3937, 3.9 km       ,             3177, 53 mins        ,                            , 
