origin,destination,distance_meters,duration_walking_sec,duration_walking_min,duration_public_transport_sec,duration_public_transport_min
Maria-Theresien-Platz                              , Prater / Riesenrad                                 ,3421,2808,47,,
Maria-Theresien-Platz                              , Mittelalterlicher Adventmarkt                      ,2144,1803,31,,
Maria-Theresien-Platz                              , Weihnachtsmarkt am Michaelerplatz                  ,517,418,7,,
Maria-Theresien-Platz                              , Schloss Wilhelminenberg                            ,6153,5666,95,,
Maria-Theresien-Platz                              , Advent in der Stallburg                            ,546,446,8,,
Maria-Theresien-Platz                              , Adventmarkt Mariahilf                              ,889,790,14,,
Maria-Theresien-Platz                              , IKEA Westbahnhof                                   ,2231,1933,33,,
Maria-Theresien-Platz                              , Christkindlmarkt Floridsdorf (am Franz-Jonas-Platz),7171,5959,100,,
Maria-Theresien-Platz                              , Adventmark Verkehrsmuseum Remise                   ,3898,3180,53,,
Maria-Theresien-Platz                              , Weihnacht im Wald                                  ,2191,1819,31,,
Maria-Theresien-Platz                              , Adventmarkt Favoriten                              ,2144,1803,31,,
Maria-Theresien-Platz                              , Winterzauber im Böhmischen Prater                  ,5829,4968,83,,
Maria-Theresien-Platz                              , Adventmarkt Meidling                               ,2144,1803,31,,
Maria-Theresien-Platz                              , Ottakringer Weihnachtszauber                       ,4133,3565,60,,
Maria-Theresien-Platz                              , Adventmarkt im Schloss Neugebäude                  ,8235,6748,113,,
Blumengärten Hirschstetten                         , MQ                                                 ,11766,9932,166,,
Blumengärten Hirschstetten                         , Altes AKH                                          ,11610,9839,164,,
Blumengärten Hirschstetten                         , Am Hof                                             ,10551,8877,148,,
Blumengärten Hirschstetten                         , Spittelberg                                        ,11822,9985,167,,
Blumengärten Hirschstetten                         , Stephansplatz                                      ,10283,8659,145,,
Blumengärten Hirschstetten                         , Opera                                              ,16239,13660,228,,
Blumengärten Hirschstetten                         , Türkenschanzpark                                   ,12998,11000,184,,
Blumengärten Hirschstetten                         , Maria-Theresien-Platz                              ,11249,9476,158,,
Blumengärten Hirschstetten                         , Palais Liechtenstein                               ,11080,9295,155,,
Blumengärten Hirschstetten                         , Belvedere                                          ,11960,9934,166,,
Blumengärten Hirschstetten                         , Karlsplatz                                         ,11088,9344,156,,
Blumengärten Hirschstetten                         , Messe                                              ,8202,6793,114,,
Blumengärten Hirschstetten                         , Altwiener Christkindlmarkt                         ,10692,8990,150,,
Blumengärten Hirschstetten                         , Biobauern-Adventmarkt                              ,12674,10690,179,,
Blumengärten Hirschstetten                         , Rathaus                                            ,11431,9625,161,,
Blumengärten Hirschstetten                         , Schönbrunn                                         ,17373,14748,246,,
Blumengärten Hirschstetten                         , Prater / Riesenrad                                 ,8346,7012,117,,
Blumengärten Hirschstetten                         , Mittelalterlicher Adventmarkt                      ,12674,10690,179,,
Blumengärten Hirschstetten                         , Weihnachtsmarkt am Michaelerplatz                  ,10742,9033,151,,
Blumengärten Hirschstetten                         , Schloss Wilhelminenberg                            ,16882,14767,247,,
Blumengärten Hirschstetten                         , Advent in der Stallburg                            ,10846,9124,153,,
Blumengärten Hirschstetten                         , Adventmarkt Mariahilf                              ,12401,10486,175,,
Blumengärten Hirschstetten                         , IKEA Westbahnhof                                   ,13743,11628,194,,
Blumengärten Hirschstetten                         , Christkindlmarkt Floridsdorf (am Franz-Jonas-Platz),7098,5919,99,,
Blumengärten Hirschstetten                         , Adventmark Verkehrsmuseum Remise                   ,9252,7599,127,,
Blumengärten Hirschstetten                         , Weihnacht im Wald                                  ,13405,11283,189,,
Blumengärten Hirschstetten                         , Adventmarkt Favoriten                              ,12674,10690,179,,
Blumengärten Hirschstetten                         , Winterzauber im Böhmischen Prater                  ,12988,10962,183,,
Blumengärten Hirschstetten                         , Adventmarkt Meidling                               ,12674,10690,179,,
Blumengärten Hirschstetten                         , Ottakringer Weihnachtszauber                       ,15256,13023,218,,
Blumengärten Hirschstetten                         , Adventmarkt im Schloss Neugebäude                  ,12894,10601,177,,
Palais Liechtenstein                               , MQ                                                 ,2407,2091,35,,
Palais Liechtenstein                               , Altes AKH                                          ,1309,1147,20,,
Palais Liechtenstein                               , Am Hof                                             ,1663,1424,24,,
Palais Liechtenstein                               , Spittelberg                                        ,2471,2149,36,,
Palais Liechtenstein                               , Stephansplatz                                      ,2124,1793,30,,
Palais Liechtenstein                               , Opera                                              ,6614,5673,95,,
Palais Liechtenstein                               , Türkenschanzpark                                   ,2937,2654,45,,
Palais Liechtenstein                               , Maria-Theresien-Platz                              ,2148,1843,31,,
Palais Liechtenstein                               , Blumengärten Hirschstetten                         ,11080,9269,155,,
Palais Liechtenstein                               , Belvedere                                          ,4290,3671,62,,
Palais Liechtenstein                               , Karlsplatz                                         ,2993,2534,43,,
Palais Liechtenstein                               , Messe                                              ,4371,3672,62,,
Palais Liechtenstein                               , Altwiener Christkindlmarkt                         ,1502,1303,22,,
Palais Liechtenstein                               , Biobauern-Adventmarkt                              ,4424,3771,63,,
Palais Liechtenstein                               , Rathaus                                            ,1514,1323,23,,
Palais Liechtenstein                               , Schönbrunn                                         ,8150,6945,116,,
Palais Liechtenstein                               , Prater / Riesenrad                                 ,3347,2800,47,,
Palais Liechtenstein                               , Mittelalterlicher Adventmarkt                      ,4424,3771,63,,
Palais Liechtenstein                               , Weihnachtsmarkt am Michaelerplatz                  ,1880,1611,27,,
Palais Liechtenstein                               , Schloss Wilhelminenberg                            ,6175,5779,97,,
Palais Liechtenstein                               , Advent in der Stallburg                            ,2003,1714,29,,
Palais Liechtenstein                               , Adventmarkt Mariahilf                              ,3292,2845,48,,
Palais Liechtenstein                               , IKEA Westbahnhof                                   ,4487,3939,66,,
Palais Liechtenstein                               , Christkindlmarkt Floridsdorf (am Franz-Jonas-Platz),5387,4508,76,,
Palais Liechtenstein                               , Adventmark Verkehrsmuseum Remise                   ,5000,4177,70,,
Palais Liechtenstein                               , Weihnacht im Wald                                  ,4625,3897,65,,
Palais Liechtenstein                               , Adventmarkt Favoriten                              ,4424,3771,63,,
Palais Liechtenstein                               , Winterzauber im Böhmischen Prater                  ,7810,6687,112,,
Palais Liechtenstein                               , Adventmarkt Meidling                               ,4424,3771,63,,
Palais Liechtenstein                               , Ottakringer Weihnachtszauber                       ,4659,4131,69,,
Palais Liechtenstein                               , Adventmarkt im Schloss Neugebäude                  ,9999,8274,138,,
Belvedere                                          , MQ                                                 ,2332,1918,32,,
Belvedere                                          , Altes AKH                                          ,4071,3355,56,,
Belvedere                                          , Am Hof                                             ,2774,2234,38,,
Belvedere                                          , Spittelberg                                        ,2786,2296,39,,
Belvedere                                          , Stephansplatz                                      ,2411,1941,33,,
Belvedere                                          , Opera                                              ,6592,5508,92,,
Belvedere                                          , Türkenschanzpark                                   ,6714,5741,96,,
Belvedere                                          , Maria-Theresien-Platz                              ,2310,1871,32,,
Belvedere                                          , Blumengärten Hirschstetten                         ,11947,9767,163,,
Belvedere                                          , Palais Liechtenstein                               ,4290,3498,59,,
Belvedere                                          , Karlsplatz                                         ,1457,1117,19,,
Belvedere                                          , Messe                                              ,4501,3637,61,,
Belvedere                                          , Altwiener Christkindlmarkt                         ,2859,2315,39,,
Belvedere                                          , Biobauern-Adventmarkt                              ,1929,1566,27,,
Belvedere                                          , Rathaus                                            ,3224,2627,44,,
Belvedere                                          , Schönbrunn                                         ,6677,5652,95,,
Belvedere                                          , Prater / Riesenrad                                 ,3547,2880,48,,
